Compound 1;Compound 2;Compound 3;Molar Fraction 1;Molar Fraction 2;Molar Fraction 3;Property;Property Name;Standard Deviation Viscosity;Parameter;Type;Storage;Comment
Betaine;Glycerol;Water;0,071;0,143;0,786;9,89;Viscosity;0,968922;7;Time;open;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;10,45;Viscosity;0,469047;14;Time;open;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;11,69;Viscosity;0,055113;40;Time;open;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;48,45932;Polarity;0;0;Time;none;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;49,63715;Polarity;0;7;Time;closed;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;50,47053;Polarity;0,314987;14;Time;closed;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;50,24796;Polarity;0,124888;38;Time;closed;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;48,37954;Polarity;0,463073;7;Time;fridge;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;50,20373;Polarity;0,062334;14;Time;fridge;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;49,29483;Polarity;0;39;Time;fridge;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;49,6373;Polarity;0,121871;7;Time;open;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;49,94095;Polarity;0,185049;14;Time;open;Bet-Gly (1:2)_40% H2O
Betaine;Glycerol;Water;0,071;0,143;0,786;50,73828;Polarity;0,063669;40;Time;open;Bet-Gly (1:2)_40% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;72,01;Viscosity;1,126336;0;Time;none;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;68,29;Viscosity;0,275399;7;Time;closed;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;71,41;Viscosity;1,689613;14;Time;closed;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;67,33;Viscosity;0,408551;38;Time;closed;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;69,65;Viscosity;0,07903;7;Time;fridge;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;69,16;Viscosity;0,597733;14;Time;fridge;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;68,19;Viscosity;0,798615;38;Time;fridge;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;72,06;Viscosity;0,684777;7;Time;open;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;67,03;Viscosity;0,852457;14;Time;open;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;59,56;Viscosity;3,108205;40;Time;open;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;51,60847;Polarity;0,131743;0;Time;none;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;51,33051;Polarity;0,130327;7;Time;closed;Bet-EG (1:3)_0% H2O
Betaine;Ethylene glycol;Water;0,25;0,75;0;51,79529;Polarity;0;14;Time;closed;Bet-EG (1:3)_0% H2O
