Error(cP),Viscosity(cP),molar ratio of DES (mol/mol),mole fraction of water (mol/mol),temperature (K),DOI
NG,401,0.428571429,0,293.15,10.1021/jp0671998
NG,376,0.5,0,293.15,10.1021/jp0671998
29.94,998,0.052631579,0,293.15,10.1039/c0gc00395f
19.62,654,0.052631579,0,298.15,10.1039/c0gc00395f
13.5,450,0.052631579,0,303.15,10.1039/c0gc00395f
9.42,314,0.052631579,0,308.15,10.1039/c0gc00395f
6.66,222,0.052631579,0,313.15,10.1039/c0gc00395f
4.89,163,0.052631579,0,318.15,10.1039/c0gc00395f
3.6,120,0.052631579,0,323.15,10.1039/c0gc00395f
2.7,90,0.052631579,0,328.15,10.1039/c0gc00395f
23.7,790,0.111111111,0,293.15,10.1039/c0gc00395f
15.09,503,0.111111111,0,298.15,10.1039/c0gc00395f
10.47,349,0.111111111,0,303.15,10.1039/c0gc00395f
7.41,247,0.111111111,0,308.15,10.1039/c0gc00395f
5.4,180,0.111111111,0,313.15,10.1039/c0gc00395f
3.96,132,0.111111111,0,318.15,10.1039/c0gc00395f
2.94,98,0.111111111,0,323.15,10.1039/c0gc00395f
2.22,74,0.111111111,0,328.15,10.1039/c0gc00395f
16.44,548,0.176470588,0,293.15,10.1039/c0gc00395f
11.4,380,0.176470588,0,298.15,10.1039/c0gc00395f
8.1,270,0.176470588,0,303.15,10.1039/c0gc00395f
5.82,194,0.176470588,0,308.15,10.1039/c0gc00395f
4.2,140,0.176470588,0,313.15,10.1039/c0gc00395f
3.21,107,0.176470588,0,318.15,10.1039/c0gc00395f
2.4,80,0.176470588,0,323.15,10.1039/c0gc00395f
1.8,60,0.176470588,0,328.15,10.1039/c0gc00395f
15.09,503,0.25,0,293.15,10.1039/c0gc00395f
10.5,350,0.25,0,298.15,10.1039/c0gc00395f
7.38,246,0.25,0,303.15,10.1039/c0gc00395f
5.34,178,0.25,0,308.15,10.1039/c0gc00395f
3.96,132,0.25,0,313.15,10.1039/c0gc00395f
2.94,98,0.25,0,318.15,10.1039/c0gc00395f
2.58,86,0.25,0,323.15,10.1039/c0gc00395f
1.71,57,0.25,0,328.15,10.1039/c0gc00395f
13.5,450,0.333333333,0,293.15,10.1039/c0gc00395f
9.6,320,0.333333333,0,298.15,10.1039/c0gc00395f
6.87,229,0.333333333,0,303.15,10.1039/c0gc00395f
5.07,169,0.333333333,0,308.15,10.1039/c0gc00395f
3.78,126,0.333333333,0,313.15,10.1039/c0gc00395f
2.85,95,0.333333333,0,318.15,10.1039/c0gc00395f
2.19,73,0.333333333,0,323.15,10.1039/c0gc00395f
1.74,58,0.333333333,0,328.15,10.1039/c0gc00395f
12.03,401,0.428571429,0,293.15,10.1039/c0gc00395f
8.85,295,0.428571429,0,298.15,10.1039/c0gc00395f
6.39,213,0.428571429,0,303.15,10.1039/c0gc00395f
4.8,160,0.428571429,0,308.15,10.1039/c0gc00395f
3.6,120,0.428571429,0,313.15,10.1039/c0gc00395f
2.73,91,0.428571429,0,318.15,10.1039/c0gc00395f
2.13,71,0.428571429,0,323.15,10.1039/c0gc00395f
1.65,55,0.428571429,0,328.15,10.1039/c0gc00395f
11.28,376,0.5,0,293.15,10.1039/c0gc00395f
7.77,259,0.5,0,298.15,10.1039/c0gc00395f
5.64,188,0.5,0,303.15,10.1039/c0gc00395f
4.2,140,0.5,0,308.15,10.1039/c0gc00395f
3.12,104,0.5,0,313.15,10.1039/c0gc00395f
2.46,82,0.5,0,318.15,10.1039/c0gc00395f
